,0,1,2
1647,Texas,Jeff Davis,180924.49923262783
687,Louisiana,Catahoula,385202.0986340023
1606,Texas,Franklin,33947.97783022898
1217,North Carolina,Watauga,31862.65483171676
1055,Nebraska,Harlan,62562.65127810488
41,Alabama,Lowndes,889709.8543601829
13,Alabama,Clay,41624.304426246534
1817,Vermont,Windham,75128.75177069943
541,Illinois,Mercer,12251.820788535968
1560,Texas,Cass,7276.391425078238
1327,Oklahoma,Cotton,44630.34142964806
78,Arizona,Yavapai,87156.0876869353
984,Missouri,Pettis,78.3508321825977
723,Louisiana,West Baton Rouge,8806.03501721479
1694,Texas,Montgomery,143000.1863913838
1815,Vermont,Rutland,16159.35774345836
815,Michigan,Presque Isle,44755.274122284194
752,Michigan,Barry,88217.3150951136
1166,North Carolina,Haywood,2054.1511623399974
1081,Nebraska,Perkins,10307.721266126526
1779,Utah,Beaver,855063.2137521185
699,Louisiana,Jefferson,28714.52854488787
1260,Ohio,Holmes,52963.40788741385
1359,Oklahoma,Murray,13506.030903763129
1219,North Carolina,Wilkes,39098.469882660436
358,Georgia,Jasper,89502.86674489673
1455,Tennessee,Fayette,2397.214710327803
1211,North Carolina,Tyrrell,279718.6716365394
294,Georgia,Brooks,33549.57038017039
0,Alabama,Autauga,88157.56321529455
788,Michigan,Lapeer,884997.7827538417
1612,Texas,Glasscock,22719.65153988581
428,Georgia,Warren,4153.956632311791
52,Alabama,Pickens,323695.87268752843
274,Florida,Suwannee,307894.0993420532
242,Florida,Hernando,423564.8083735915
538,Illinois,McHenry,102086.47153472752
90,Arkansas,Clay,498959.12998016406
1522,Tennessee,Wayne,15600.37719333281
632,Iowa,Lee,10367.535969768474
1648,Texas,Jefferson,108852.56217056821
1120,Nevada,Pershing,173172.09328707875
1563,Texas,Cherokee,32443.222438207977
86,Arkansas,Calhoun,17427.98289445071
1763,Texas,Washington,57758.6951655408
1719,Texas,Reeves,8178.07057583425
1638,Texas,Houston,6911.584467280855
1590,Texas,Dimmit,403915.6024190165
1571,Texas,Colorado,12953.817749382268
371,Georgia,Lowndes,75421.95413808634
1520,Tennessee,Warren,5291.459288508912
814,Michigan,Ottawa,16490.708242722303
353,Georgia,Heard,227244.24158309423
1061,Nebraska,Jefferson,91232.97914067868
1080,Nebraska,Pawnee,23315.094443799197
1024,Nebraska,Burt,1960.8325153741746
344,Georgia,Grady,102894.27495557784
1064,Nebraska,Keith,1182157.4849390762
1182,North Carolina,Mecklenburg,10181.035716119362
995,Missouri,Ripley,239754.87832858542
1650,Texas,Jim Wells,68889.8307962105
1789,Utah,Iron,31682.94348015114
1890,Virginia,Powhatan,69728.54313720234
1188,North Carolina,Northampton,23150.86916467757
916,Missouri,Buchanan,87369.37557359971
764,Michigan,Crawford,69122.5406019448
1659,Texas,Kimble,55471.905337499804
1073,Nebraska,McPherson,5656.519260060775
1424,South Carolina,Orangeburg,67836.84205787673
1685,Texas,McLennan,28979.870199010507
1712,Texas,Potter,117061.07637475908
363,Georgia,Jones,322790.78221442207
1286,Ohio,Perry,9198.552698950218
356,Georgia,Irwin,149896.22172548753
1585,Texas,Deaf Smith,5447.7200045832
92,Arkansas,Cleveland,435918.4111313428
130,Arkansas,Newton,57684.25197192389
1609,Texas,Gaines,70578.40215647583
1736,Texas,Smith,23773.439423305816
878,Mississippi,Pearl River,707878.3823848427
919,Missouri,Callaway,280196.7706250312
347,Georgia,Habersham,344221.9950039675
180,Colorado,Gunnison,7676.230724900501
823,Michigan,Washtenaw,543592.3543090964
372,Georgia,Lumpkin,336351.99784614664
852,Mississippi,Issaquena,28506.65697583214
1289,Ohio,Portage,17874.604414889378
553,Illinois,Putnam,32039.79652187541
705,Louisiana,Morehouse,24919.922015816603
1438,Tennessee,Bradley,18619.904248122763
804,Michigan,Montmorency,33061.44508480709
1151,North Carolina,Davidson,163875.9924789178
1264,Ohio,Knox,25500.785779920017
785,Michigan,Kent,6817.255453202537
1554,Texas,Caldwell,260196.29239335214
1904,Virginia,Southampton,37467.860225419696
680,Louisiana,Beauregard,5858.689094698869
875,Mississippi,Noxubee,8516.57576630195
1493,Tennessee,Monroe,33308.251885246194
253,Florida,Levy,11298.065547249927
562,Illinois,Stark,124792.92634616508
387,Georgia,Oconee,79143.69465815602
1884,Virginia,Northumberland,45130.58169080526
855,Mississippi,Jasper,1430886.2180299675
270,Florida,Santa Rosa,167462.6954752539
1200,North Carolina,Robeson,866127.2695444238
1067,Nebraska,Knox,38206.59352215381
1439,Tennessee,Campbell,393876.2405229741
1242,Ohio,Defiance,103612.2300125542
488,Illinois,Calhoun,125656.83175122376
450,Idaho,Butte,3786.168017356429
830,Mississippi,Benton,5259.512199597459
1591,Texas,Donley,2517.7301545886667
145,Arkansas,Sevier,5034.901358562328
1670,Texas,Liberty,37355.359114080784
592,Iowa,Cedar,9909.959793049515
1060,Nebraska,Howard,294.0621848282339
1033,Nebraska,Cuming,207512.68070690904
123,Arkansas,Madison,32466.933281480673
1069,Nebraska,Lincoln,98455.29090739795
350,Georgia,Haralson,13769.001430180462
1464,Tennessee,Hamilton,13817.202918483736
1225,Ohio,Ashland,157231.18397667675
1497,Tennessee,Obion,208423.39880450835
591,Iowa,Cass,5640.405821979847
692,Louisiana,East Feliciana,13035.244642546253
156,Colorado,Arapahoe,10785.229049448175
614,Iowa,Grundy,3900.006552038988
967,Missouri,Marion,601112.6815386389
1510,Tennessee,Shelby,18420.685083724384
582,Iowa,Benton,274752.0302618583
1841,Virginia,Culpeper,390536.82125581324
808,Michigan,Oceana,78207.6613150653
141,Arkansas,Saline,12532.24696350361
311,Georgia,Clayton,122957.05483817177
1678,Texas,Madison,77875.30857303117
1746,Texas,Terrell,9753.635276615483
646,Iowa,Muscatine,13994.21118175634
1801,Utah,Tooele,6399.796239583506
1480,Tennessee,Lauderdale,73418.47710742836
1827,Virginia,Bedford,2082911.2760748768
215,Colorado,Washington,71824.78429704587
1862,Virginia,Henry,17305.61594048875
