,0,1,2
786,Michigan,Keweenaw,237562.89329967008
812,Michigan,Oscoda,12308.115882485074
1068,Nebraska,Lancaster,7673.429653864939
337,Georgia,Forsyth,38732.68594265301
1680,Texas,Martin,119911.98024418612
775,Michigan,Houghton,24261.92679512276
77,Arizona,Santa Cruz,44336.74059506447
447,Idaho,Bonner,18701.720409772824
906,Missouri,Adair,7162.320281848505
446,Idaho,Boise,56740.84952579549
436,Georgia,Wilkes,417835.0288779479
1569,Texas,Collin,8508.08951189338
1131,North Carolina,Bertie,91718.55383331928
1858,Virginia,Halifax,29299.580108990867
263,Florida,Orange,65611.6795069252
159,Colorado,Bent,8197.494109833258
1667,Texas,La Salle,10086.062824551953
1025,Nebraska,Butler,4173.77064372746
1834,Virginia,Caroline,40566.1164767493
552,Illinois,Pulaski,36135.6804007345
141,Arkansas,Saline,197616.15372200526
163,Colorado,Cheyenne,26354.988235576307
1705,Texas,Orange,16043.754489894884
162,Colorado,Chaffee,71360.93776445481
1811,Vermont,Essex,30629.21292104881
1061,Nebraska,Jefferson,10168.499550537592
766,Michigan,Dickinson,4292.175922809546
792,Michigan,Luce,15565.713435595746
1447,Tennessee,Cocke,27456.72837562902
1048,Nebraska,Garden,14421.5817545146
86,Arkansas,Calhoun,16845.396180760818
1154,North Carolina,Durham,20748.645056241017
226,Florida,Citrus,197245.7068262392
493,Illinois,Clark,68620.88677546773
632,Iowa,Lee,16959.28305903524
1575,Texas,Cooke,66427.48203589019
1530,Texas,Aransas,225765.1790814556
513,Illinois,Henderson,39257.00074674758
1321,Oklahoma,Cherokee,152584.07452119756
534,Illinois,Marshall,4132.6858230810785
384,Georgia,Murray,2636.296694134194
618,Iowa,Hardin,56110.86581424752
332,Georgia,Emanuel,101848.24682316421
1845,Virginia,Essex,41674.72836546077
1280,Ohio,Morgan,9286.994405470236
1123,Nevada,White Pine,2518846.4583720686
1369,Oklahoma,Payne,170761.4716567819
740,Massachusetts,Hampden,5527.705034419673
1202,North Carolina,Rowan,24948.5374414469
1908,Virginia,Surry,19383.668708512556
1193,North Carolina,Pender,5179.24881882755
1079,Nebraska,Otoe,116132.41542894267
996,Missouri,Saline,152351.62952273327
1201,North Carolina,Rockingham,205538.78324728008
228,Florida,Collier,23392.18303844743
708,Louisiana,Ouachita,281035.8364704977
286,Georgia,Banks,3876.049325295789
536,Illinois,Massac,977931.263209839
138,Arkansas,Prairie,21324.763985273523
356,Georgia,Irwin,48734.96198115491
1620,Texas,Hale,16836.88219233213
1238,Ohio,Coshocton,20938.511279236074
62,Alabama,Washington,914701.2250066906
282,Georgia,Atkinson,12234.52649648124
178,Colorado,Gilpin,51886.640892081734
930,Missouri,Clinton,124279.92784688379
1505,Tennessee,Robertson,27505.245005060522
622,Iowa,Humboldt,22352.496038741632
208,Colorado,Routt,101705.18865097615
1463,Tennessee,Hamblen,4242.639993073973
1441,Tennessee,Carroll,10100.74104180081
1770,Texas,Williamson,83361.66600324993
1391,South Carolina,Bamberg,102704.58424673883
1372,Oklahoma,Pottawatomie,12616.548584594491
936,Missouri,Daviess,15637.855637653713
1242,Ohio,Defiance,17037.941103821584
387,Georgia,Oconee,28795.264195090236
1628,Texas,Hartley,8187.376453419333
773,Michigan,Gratiot,8335.583876096722
1226,Ohio,Ashtabula,4235.947014695457
1814,Vermont,Orange,11569.337154493056
152,Arkansas,Woodruff,32154.200997076896
975,Missouri,Morgan,9771.994949511725
989,Missouri,Pulaski,517163.0065933792
1695,Texas,Moore,24903.5683950583
1296,Ohio,Seneca,70564.93333142724
835,Mississippi,Choctaw,12333.871205233503
357,Georgia,Jackson,708039.9600994277
889,Mississippi,Stone,11502.239304437957
511,Illinois,Hancock,36320.70596768286
1678,Texas,Madison,30910.715973133338
1882,Virginia,Norfolk,29721.985614798705
503,Illinois,Fayette,20972.24497645462
1799,Utah,Sevier,27055.293454317263
1633,Texas,Hidalgo,7109.81516545979
1260,Ohio,Holmes,8137.650922374366
1353,Oklahoma,Major,18953.06373778295
860,Mississippi,Lamar,42067.66353423012
397,Georgia,Quitman,5460.006353384779
1593,Texas,Eastland,142266.7488074321
382,Georgia,Montgomery,10212.547909053856
1335,Oklahoma,Garvin,195816.3429373512
67,Arizona,Coconino,60341.64190235986
1616,Texas,Grayson,21398.324603678924
1847,Virginia,Fauquier,7091.084221050422
1007,Missouri,Vernon,83650.70009791691
1119,Nevada,Nye,62517.304930396764
1638,Texas,Houston,5418.1348823971275
1217,North Carolina,Watauga,10786.005007236558
471,Idaho,Minidoka,20678.009309852267
1359,Oklahoma,Murray,6889.553829105775
1325,Oklahoma,Coal,133433.48435646066
1095,Nebraska,Sherman,78887.35947863004
1840,Virginia,Craig,51830.525066075206
655,Iowa,Ringgold,7941.376706105095
846,Mississippi,Grenada,44398.22212542825
1666,Texas,Lampasas,36544.66549649694
585,Iowa,Bremer,54894.9228492628
761,Michigan,Chippewa,3088.547665229276
949,Missouri,Howard,110122.2078158474
295,Georgia,Bryan,7424.461867745694
1831,Virginia,Buchanan,16384.153085626232
1135,North Carolina,Burke,69405.1043936605
1264,Ohio,Knox,8776.36578858572
20,Alabama,Crenshaw,30135.148084622168
97,Arkansas,Crittenden,12063.911169476754
1343,Oklahoma,Jackson,633027.51148861
458,Idaho,Elmore,180686.7158217992
934,Missouri,Dade,150559.5225525423
863,Mississippi,Leake,14653.585644589699
129,Arkansas,Nevada,18434.46140053551
1499,Tennessee,Perry,83507.68546196095
1835,Virginia,Carroll,10841.327712115459
1031,Nebraska,Clay,16047.948635821962
1232,Ohio,Carroll,74075.0346814769
958,Missouri,Lafayette,771401.312091424
788,Michigan,Lapeer,29838.207109930067
1382,Oklahoma,Wagoner,9821.599009858437
745,Michigan,Alcona,13777.71253261759
682,Louisiana,Bossier,6694.119100794589
1367,Oklahoma,Ottawa,82771.35747198045
1180,North Carolina,Martin,12235.472274656806
1466,Tennessee,Hardeman,29338.674344292624
829,Mississippi,Attala,760054.8929840504
686,Louisiana,Cameron,51626.68765820106
1216,North Carolina,Washington,21873.036635574434
442,Idaho,Bear Lake,148361.2099823684
556,Illinois,Rock Island,275951.12352147925
1765,Texas,Wharton,14678.948699373963
1583,Texas,Dallas,9844.659070363448
257,Florida,Marion,5101.188049620126
331,Georgia,Elbert,10710.627120262136
1726,Texas,Sabine,2842.322635852807
1393,South Carolina,Beaufort,8556.01097593497
443,Idaho,Benewah,144099.02310584372
1896,Virginia,Richmond,47374.804640269715
326,Georgia,Dougherty,83849.19333325909
