,0,1,2
1831,Virginia,Montgomery,24116.801253991584
547,Iowa,Franklin,120634.86683041096
1195,Ohio,Defiance,35638.82152301394
1405,Tennessee,Decatur,60611.80106775013
910,Mississippi,Lee,8440.0337394363
1391,Tennessee,Bradley,14162.297357796908
86,Arkansas,Calhoun,5337.408868476972
1816,Virginia,Highland,7273.114181017449
1434,Tennessee,Lawrence,16660.367884179923
868,Michigan,Van Buren,42058.3669293977
1413,Tennessee,Grainger,4987.366284532327
139,Arkansas,Pulaski,51925.48429451346
947,Mississippi,Webster,193166.2667147912
1455,Tennessee,Putnam,1133230.1395369952
1641,Texas,Menard,5835.690399415802
855,Michigan,Ogemaw,271446.27578813594
1662,Texas,Parmer,79770.43268301585
1017,Missouri,Mississippi,59154.49017598915
212,Florida,Union,26782.96248347387
430,Illinois,Clay,6244605.480586742
951,Mississippi,Yazoo,13512.350590104537
1398,Tennessee,Claiborne,48131.754015076825
1158,North Carolina,Scotland,5559.421126583216
1546,Texas,Eastland,4418.54446887929
1227,Ohio,Medina,10677.826794705134
745,Louisiana,Concordia,11924.649313392336
546,Iowa,Floyd,46766.76964527418
149,Arkansas,Van Buren,4764.175321188323
1684,Texas,Schleicher,222141.7812231714
722,Kentucky,Trimble,326403.1212725458
1716,Texas,Washington,80520.93955194938
1354,South Carolina,Colleton,63301.433719454864
1043,Missouri,Schuyler,46622.071694296006
1216,Ohio,Jefferson,24575.402911043555
298,Georgia,Johnson,14181.08751272214
1036,Missouri,Putnam,9641.675505813424
782,Louisiana,Winn,17463.819713774337
1544,Texas,Donley,19472.969580803445
792,Michigan,Alger,40108.96831777506
1436,Tennessee,Lincoln,25077.812301946517
1765,Vermont,Franklin,9936.356552019593
1551,Texas,Erath,117122.42327444226
768,Louisiana,Red River,495258.887375165
518,Iowa,Benton,97504.02529216482
30,Alabama,Greene,16755.57923227007
498,Illinois,Stark,32489.122899307364
550,Iowa,Grundy,33047.195040256185
1284,Oklahoma,Delaware,51105.7773503519
210,Florida,Suwannee,3652.1089520824307
1356,South Carolina,Dillon,7550.936883623159
1288,Oklahoma,Garvin,12079.6656798324
177,Florida,Hendry,5571.551927875159
1489,Texas,Bandera,2497.9059272995596
813,Michigan,Eaton,14424.792085881596
1178,Ohio,Ashland,8435.2928634133
99,Arkansas,Dallas,121117.39816637822
1647,Texas,Montgomery,16388.286056535417
733,Louisiana,Ascension,34042.87228016304
376,Idaho,Adams,18621.909017346363
532,Iowa,Clarke,62869.237268608114
777,Louisiana,Washington,8647.25191569528
1696,Texas,Swisher,33361.553628395195
1375,South Carolina,Newberry,93028.58943103076
515,Iowa,Allamakee,17356.02968227809
461,Illinois,Lake,36558.37293230795
1728,Texas,Yoakum,25725.73799944893
1353,South Carolina,Clarendon,25355.13058780463
1349,South Carolina,Charleston,327993.0928357448
1550,Texas,El Paso,56554.966716952506
1018,Missouri,Moniteau,7566.342664787752
1073,Nevada,Pershing,11428.499880229465
859,Michigan,Otsego,253634.5677635751
1187,Ohio,Clark,4702.869896613323
1577,Texas,Hardeman,91222.07426370539
1022,Missouri,New Madrid,63587.84393824128
1013,Missouri,Marion,149250.27162133154
1760,Utah,Weber,33778.749336834604
563,Iowa,Jefferson,75892.79314081577
1517,Texas,Childress,49195.303762772106
553,Iowa,Hancock,38566.53390727398
1726,Texas,Wise,33583.776935323156
1002,Missouri,Knox,10209.819352913253
1090,North Carolina,Caldwell,836195.9993863296
503,Illinois,Wabash,146228.66885436085
536,Iowa,Crawford,26102.19869248619
1818,Virginia,James City,21622.28788058434
464,Illinois,Livingston,29122.96159188219
46,Alabama,Marshall,11303.70115359011
1034,Missouri,Polk,99432.84494041314
825,Michigan,Iosco,114790.6505939317
424,Illinois,Calhoun,176501.3281142058
182,Florida,Indian River,43007.265459773844
604,Iowa,Wayne,38159.368714360186
1866,Virginia,Washington,91536.19521415984
800,Michigan,Benzie,10425.522622891416
135,Arkansas,Poinsett,21193.330853233958
1752,Utah,Sevier,3340.055879524227
575,Iowa,Marion,76383.06650771353
374,Georgia,Worth,49580.845488693725
1130,North Carolina,Lincoln,42719.424426431084
1319,Oklahoma,Osage,11541.654744202926
63,Alabama,Wilcox,7146.130776380115
920,Mississippi,Newton,7190.049990934564
1567,Texas,Gonzales,14165.23628215006
751,Louisiana,Grant,72270.54172904909
117,Arkansas,Lawrence,34337.899690510545
1339,Oklahoma,Woodward,26106.41338963682
1549,Texas,Ellis,8410.065263109735
1155,North Carolina,Rowan,104763.08775270401
1233,Ohio,Morgan,12531.924997497934
793,Michigan,Allegan,11740.061016044121
959,Missouri,Benton,12009.89848267994
1776,Virginia,Appomattox,39459.56748859777
1132,North Carolina,Madison,113754.2693218498
1340,South Carolina,Abbeville,44575.70516664105
972,Missouri,Chariton,36445.81103494402
39,Alabama,Lee,15237.647363793963
1014,Missouri,McDonald,2541272.502339966
1122,North Carolina,Hoke,7502.827749529234
1218,Ohio,Lake,15444.319364756366
789,Massachusetts,Plymouth,45813.116483653575
807,Michigan,Chippewa,9485.369350104644
1635,Texas,Matagorda,31044.530755766453
867,Michigan,Tuscola,11926.136060537969
163,Florida,Clay,31847.916071998883
